Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,5,2019,61,F,true,JMC,AUGUST,2024,Lecture 6
1,CN,5,2019,61,F,true,PYC,APRIL,2021,Lecture 14
2,IN,4,2020,51,M,true,JMC,OCTOBER,2023,Lecture 11
2,IN,4,2020,51,M,true,PYC,DECEMBER,2022,Lecture 11
3,IN,4,2023,38,F,true,JMC,JUNE,2024,Lecture 9
3,IN,4,2023,38,F,true,PYC,MARCH,2024,Lecture 14
4,CN,3,2022,71,M,false,JMC,APRIL,2024,Lecture 14
4,CN,3,2022,71,M,false,PYC,JULY,2023,Lecture 5
5,GB,6,2025,83,M,false,JMC,AUGUST,2025,Lecture 13
5,GB,6,2025,83,M,false,PYC,SEPTEMBER,2025,Lecture 7
